"","X","SOCIALNETW","CHECK","SOCIALNE_1","SOCIALNE_2","PERSON_WIT","SOCIALNE_3","NUMBER_OF_","RELATIONSH","GENDER","RELATION_1","LONG_LIST","SOCIALNE_4","SOCIALNE_5","SOCIALNE_6","SOCIALNE_7","UNIQUE","OBJECTID","FIELD1","ADDRESS","PRECISION","LAT","LON","ADDRESS_1","What.gender.do.you.identify.with.","gender_guess","relationship_gender","place_type"
"124",124,413,"Correct",10059,NA,"Deborah (coworkers)","Coworker",3,"Professional","Undefined from relationship","Coworkers","Coworkers: harambee house (Habersham st) Patricia: Breakfast at sunny side up, shopping at food lion (Skidaway) and Walmart (Skidaway)","Breakfast (Sunny Side Up)",NA,"Place4","Walmart-Skidaway","Walmart-Montgomery",263,263,"1955 E Montgomery Cross Rd, Savannah, GA 31406, United States","Rooftop",31.989816,-81.080923,"1955 E Montgomery Cross Rd, Savannah, GA 31406, United States","Female","F","F-F","supermarket"
"125",125,705,"Correct",10076,NA,"Braket","Coworker",3,"Professional","Undefined from relationship","Coworkers","Coworkers: B. Matthews, socialize at work.","Activity: Socialize",NA,"Place1","Matthews","Matthews",57,57,"325 E Bay St, Savannah, GA 31401, United States","Rooftop",32.079676,-81.087161,"325 E Bay St, Savannah, GA 31401, United States","Male","Undefined from relationship","M-U","restaurant, house"
"126",126,707,"Correct",10076,NA,"Armon","Coworker",3,"Professional","Undefined from relationship","Coworkers","Coworkers: B. Matthews, socialize at work.","Activity: Socialize",NA,"Place1","Matthews","Matthews",57,57,"325 E Bay St, Savannah, GA 31401, United States","Rooftop",32.079676,-81.087161,"325 E Bay St, Savannah, GA 31401, United States","Male","M","M-M","restaurant, house"
"127",127,709,"Correct",10076,NA,"James (Coworkers)","Coworker",3,"Professional","Undefined from relationship","Coworkers","Coworkers: B. Matthews, socialize at work.","Activity: Socialize",NA,"Place1","Matthews","Matthews",57,57,"325 E Bay St, Savannah, GA 31401, United States","Rooftop",32.079676,-81.087161,"325 E Bay St, Savannah, GA 31401, United States","Male","M","M-M","restaurant, house"
"128",128,801,"Different from Google - needs to be re-geocoded",10045,NA,"Mallory","Coworker",6,"Professional","Undefined from relationship","Coworkers","Coworkers: Lunch at Bo Thai. Mallory & Joe: Downtown, Gallery Espresso on Bull St.","Activities: Lunch",NA,"Place1","Bo Thai","Bo Thai",76,76,"502 Old Santa Fe Trail, Santa Fe, NM 87505, United States",NA,32.080713,-81.096515,"409 W Congress St, Savannah, GA 31401, United States","Female","Undefined from relationship","F-U","restaurant, house"
"129",129,802,"Correct",10045,NA,"Mallory","Coworker",6,"Professional","Undefined from relationship","Coworkers","Coworkers: Lunch at Bo Thai. Mallory & Joe: Downtown, Gallery Espresso on Bull St.","Activities: Lunch",NA,"Place2","Downtown","Downtown",41,41,"104 E Harris St, Savannah, GA 31401, United States","Site",32.074679,-81.088261,"104 E Harris St, Savannah, GA 31401, United States","Female","Undefined from relationship","F-U","house"
"130",130,803,"Correct",10045,NA,"Mallory","Coworker",6,"Professional","Undefined from relationship","Coworkers","Coworkers: Lunch at Bo Thai. Mallory & Joe: Downtown, Gallery Espresso on Bull St.","Activities: Lunch",NA,"Place3","Gallery Espresso","Gallery Espresso",280,280,"234 Bull St, Savannah, GA 31401, United States","Rooftop",32.075627,-81.093252,"234 Bull St, Savannah, GA 31401, United States","Female","Undefined from relationship","F-U","house"
"131",131,804,"Different from Google - needs to be re-geocoded",10045,NA,"Bailey","Coworker",6,"Professional","Undefined from relationship","Coworkers","Coworkers: Lunch at Bo Thai.","Activities: Lunch",NA,"Place1","Bo Thai","Bo Thai",76,76,"502 Old Santa Fe Trail, Santa Fe, NM 87505, United States",NA,32.080713,-81.096515,"409 W Congress St, Savannah, GA 31401, United States","Female","Undefined from relationship","F-U","restaurant, house"
"132",132,805,"Different from Google - needs to be re-geocoded",10045,NA,"Paige","Coworker",6,"Professional","Undefined from relationship","Coworkers","Coworkers: Lunch at Bo Thai.","Activities: Lunch",NA,"Place1","Bo Thai","Bo Thai",76,76,"502 Old Santa Fe Trail, Santa Fe, NM 87505, United States",NA,32.080713,-81.096515,"409 W Congress St, Savannah, GA 31401, United States","Female","F","F-F","restaurant, house"
"133",133,806,"Different from Google - needs to be re-geocoded",10045,NA,"Becky","Coworker",6,"Professional","Undefined from relationship","Coworkers","Coworkers: Lunch at Bo Thai.","Activities: Lunch",NA,"Place1","Bo Thai","Bo Thai",76,76,"502 Old Santa Fe Trail, Santa Fe, NM 87505, United States",NA,32.080713,-81.096515,"409 W Congress St, Savannah, GA 31401, United States","Female","F","F-F","restaurant, house"
"134",134,807,"Different from Google - needs to be re-geocoded",10045,NA,"Joe","Coworker",6,"Professional","Undefined from relationship","Coworkers","Coworkers: Lunch at Bo Thai. Mallory & Joe: Downtown, Gallery Espresso on Bull St.","Activities: Lunch",NA,"Place1","Bo Thai","Bo Thai",76,76,"502 Old Santa Fe Trail, Santa Fe, NM 87505, United States",NA,32.080713,-81.096515,"409 W Congress St, Savannah, GA 31401, United States","Female","Undefined from relationship","F-U","restaurant, house"
"135",135,808,"Correct",10045,NA,"Joe","Coworker",6,"Professional","Undefined from relationship","Coworkers","Coworkers: Lunch at Bo Thai. Mallory & Joe: Downtown, Gallery Espresso on Bull St.","Activities: Lunch",NA,"Place2","Downtown","Downtown",41,41,"104 E Harris St, Savannah, GA 31401, United States","Site",32.074679,-81.088261,"104 E Harris St, Savannah, GA 31401, United States","Female","Undefined from relationship","F-U","house"
"136",136,809,"Correct",10045,NA,"Joe","Coworker",6,"Professional","Undefined from relationship","Coworkers","Coworkers: Lunch at Bo Thai. Mallory & Joe: Downtown, Gallery Espresso on Bull St.","Activities: Lunch",NA,"Place3","Gallery Espresso","Gallery Espresso",280,280,"234 Bull St, Savannah, GA 31401, United States","Rooftop",32.075627,-81.093252,"234 Bull St, Savannah, GA 31401, United States","Female","Undefined from relationship","F-U","house"
"137",137,810,"Different from Google - needs to be re-geocoded",10045,NA,"Audrianna (Coworkers)","Coworker",6,"Professional","Undefined from relationship","Coworkers","Coworkers: Lunch at Bo Thai.","Activities: Lunch",NA,"Place1","Bo Thai","Bo Thai",76,76,"502 Old Santa Fe Trail, Santa Fe, NM 87505, United States",NA,32.080713,-81.096515,"409 W Congress St, Savannah, GA 31401, United States","Female","F","F-F","restaurant, house"
"138",138,738,"Correct",10080,NA,"Jessica (Coworker/friend)","Coworker",NA,"Professional","Undefined from relationship",NA,"Jessica: Work and events at the pride center.",NA,NA,"Place2","Pride Center","Pride Center",65,65,"5859 Abercorn St Bldg. 3, Savannah, GA 31405, United States","Rooftop",32.021831,-81.111864,"5859 Abercorn St Bldg. 3, Savannah, GA 31405, United States","Non-Binary","F","N-F",""
"139",139,608,"Correct",10025,NA,"Stacy","Coworker",3,"Professional","Undefined from relationship","Coworkers/friends","Stacy, Daniel, & Bernard: Work, Chick-fil-A on abercorn, Sentient Bean, Some parts of west savannah",NA,NA,"Place2","Chick-fil-A-Abercorn","Chick-fil-A-Abercorn",189,189,"11152 Abercorn St, Savannah, GA 31419, United States","Rooftop",31.980619,-81.143813,"11152 Abercorn St, Savannah, GA 31419, United States","Female","Undefined from relationship","F-U","fast_food"
"140",140,609,"Correct",10025,NA,"Stacy","Coworker",3,"Professional","Undefined from relationship","Coworkers/friends","Stacy, Daniel, & Bernard: Work, Chick-fil-A on abercorn, Sentient Bean, Some parts of west savannah",NA,NA,"Place3","Sentient Bean","Sentient Bean Coffee Shop",273,273,"13 E Park Ave, Savannah, GA 31401, United States","Rooftop",32.064659,-81.097158,"13 E Park Ave, Savannah, GA 31401, United States","Female","Undefined from relationship","F-U","cafe"
"141",141,610,"Correct",10025,NA,"Stacy","Coworker",3,"Professional","Undefined from relationship","Coworkers/friends","Stacy, Daniel, & Bernard: Work, Chick-fil-A on abercorn, Sentient Bean, Some parts of west savannah",NA,NA,"Place4","West Savannah","West Savannah",334,334,"West Savannah, Savannah, GA 31415, USA","Site",32.075307,-81.128865,"West Savannah, Savannah, GA 31415, USA","Female","Undefined from relationship","F-U","site"
"142",142,612,"Correct",10025,NA,"Daniel","Coworker",3,"Professional","Undefined from relationship","Coworkers/friends","Stacy, Daniel, & Bernard: Work, Chick-fil-A on abercorn, Sentient Bean, Some parts of west savannah",NA,NA,"Place2","Chick-fil-A-Abercorn","Chick-fil-A-Abercorn",189,189,"11152 Abercorn St, Savannah, GA 31419, United States","Rooftop",31.980619,-81.143813,"11152 Abercorn St, Savannah, GA 31419, United States","Female","M","F-M","fast_food"
"143",143,613,"Correct",10025,NA,"Daniel","Coworker",3,"Professional","Undefined from relationship","Coworkers/friends","Stacy, Daniel, & Bernard: Work, Chick-fil-A on abercorn, Sentient Bean, Some parts of west savannah",NA,NA,"Place3","Sentient Bean","Sentient Bean Coffee Shop",273,273,"13 E Park Ave, Savannah, GA 31401, United States","Rooftop",32.064659,-81.097158,"13 E Park Ave, Savannah, GA 31401, United States","Female","M","F-M","cafe"
"144",144,614,"Correct",10025,NA,"Daniel","Coworker",3,"Professional","Undefined from relationship","Coworkers/friends","Stacy, Daniel, & Bernard: Work, Chick-fil-A on abercorn, Sentient Bean, Some parts of west savannah",NA,NA,"Place4","West Savannah","West Savannah",334,334,"West Savannah, Savannah, GA 31415, USA","Site",32.075307,-81.128865,"West Savannah, Savannah, GA 31415, USA","Female","M","F-M","site"
"145",145,616,"Correct",10025,NA,"Benard (Coworkers/friends)","Coworker",3,"Professional","Undefined from relationship","Coworkers/friends","Stacy, Daniel, & Bernard: Work, Chick-fil-A on abercorn, Sentient Bean, Some parts of west savannah",NA,NA,"Place2","Chick-fil-A-Abercorn","Chick-fil-A-Abercorn",189,189,"11152 Abercorn St, Savannah, GA 31419, United States","Rooftop",31.980619,-81.143813,"11152 Abercorn St, Savannah, GA 31419, United States","Female","M","F-M","fast_food"
"146",146,617,"Correct",10025,NA,"Benard (Coworkers/friends)","Coworker",3,"Professional","Undefined from relationship","Coworkers/friends","Stacy, Daniel, & Bernard: Work, Chick-fil-A on abercorn, Sentient Bean, Some parts of west savannah",NA,NA,"Place3","Sentient Bean","Sentient Bean Coffee Shop",273,273,"13 E Park Ave, Savannah, GA 31401, United States","Rooftop",32.064659,-81.097158,"13 E Park Ave, Savannah, GA 31401, United States","Female","M","F-M","cafe"
"147",147,618,"Correct",10025,NA,"Benard (Coworkers/friends)","Coworker",3,"Professional","Undefined from relationship","Coworkers/friends","Stacy, Daniel, & Bernard: Work, Chick-fil-A on abercorn, Sentient Bean, Some parts of west savannah",NA,NA,"Place4","West Savannah","West Savannah",334,334,"West Savannah, Savannah, GA 31415, USA","Site",32.075307,-81.128865,"West Savannah, Savannah, GA 31415, USA","Female","M","F-M","site"
"148",148,461,"Correct",10049,NA,"Kat (Former coworker)","Coworker",NA,"Professional","Undefined from relationship","Former","Kat: Goes to dairy farm on Pennsylvania to get beer","Activity: Drinking beer (Old Roberds Dairy Farm)",NA,"Place1","Old Roberds Dairy Farm","Old Roberds Dairy Farm",39,39,"2500 Tennessee Ave, Savannah, GA 31404, United States","Rooftop",32.049417,-81.053271,"2500 Tennessee Ave, Savannah, GA 31404, United States","Female","F","F-F","house"
"149",149,55,"Different from Google - needs to be re-geocoded",10043,NA,"Keasia (Daughter)","Daughter",NA,"Family","F",NA,"Skippers, Bj's, Jesus First Church, home. She does not have much of an active social life.",NA,NA,"Place1","Skippers","Skippers",7,7,"51 Johnny Mercer Blvd, Savannah, GA 31410","Rooftop",31.368646,-81.437168,"85 Screven St, Darien, GA 31305, United States","Female","F","F-F","restaurant, bar"
"150",150,57,"Correct",10043,NA,"Keasia (Daughter)","Daughter",NA,"Family","F",NA,"Skippers, Bj's, Jesus First Church, home. She does not have much of an active social life.",NA,NA,"Place3","Jesus First Church","Jesus First Church",249,249,"2202 US-80, Garden City, GA 31408, United States","Rooftop",32.08749,-81.172537,"2202 US-80, Garden City, GA 31408, United States","Female","F","F-F","house"
"151",151,59,"Different from Google - needs to be re-geocoded",10043,NA,"Denay (Daughter)","Daughter",NA,"Family","F",NA,"Skippers, Bj's, Jesus First Church, home. She does not have much of an active social life.",NA,NA,"Place1","Skippers","Skippers",7,7,"51 Johnny Mercer Blvd, Savannah, GA 31410","Rooftop",31.368646,-81.437168,"85 Screven St, Darien, GA 31305, United States","Female","F","F-F","restaurant, bar"
"152",152,61,"Correct",10043,NA,"Denay (Daughter)","Daughter",NA,"Family","F",NA,"Skippers, Bj's, Jesus First Church, home. She does not have much of an active social life.",NA,NA,"Place3","Jesus First Church","Jesus First Church",249,249,"2202 US-80, Garden City, GA 31408, United States","Rooftop",32.08749,-81.172537,"2202 US-80, Garden City, GA 31408, United States","Female","F","F-F","house"
"153",153,111,"Correct",10050,NA,"Tahyaha (Daughter)","Daughter",2,"Family","F","Children","Tahyaha & Teoma: Enmarket, Oglethorpe Mall, Miss Polly's (Benton), Henry's (Pooler), Paint with a twist, Tybee, escape room (City walk)",NA,NA,"Place1","Enmarket Arena","Enmarket Arena",9,9,"620 Stiles Ave, Savannah, GA 31415, United States","Rooftop",32.074145,-81.111533,"620 Stiles Ave, Savannah, GA 31415, United States","Female","F","F-F","stadium"
"154",154,112,"Correct",10050,NA,"Tahyaha (Daughter)","Daughter",2,"Family","F","Children","Tahyaha & Teoma: Enmarket, Oglethorpe Mall, Miss Polly's (Benton), Henry's (Pooler), Paint with a twist, Tybee, escape room (City walk)",NA,NA,"Place2","Oglethorpe Mall","Oglethorpe Mall",12,12,"7804 Abercorn Extention, Savannah, GA 31406, United States","Site",32.004052,-81.115226,"7804 Abercorn Extention, Savannah, GA 31406, United States","Female","F","F-F",""
"155",155,113,"Different from Google - needs to be re-geocoded",10050,NA,"Tahyaha (Daughter)","Daughter",2,"Family","F","Children","Tahyaha & Teoma: Enmarket, Oglethorpe Mall, Miss Polly's (Benton), Henry's (Pooler), Paint with a twist, Tybee, escape room (City walk)",NA,NA,"Place3","Miss Polly's","Miss Polly's Cake Giants",252,252,"2325 Ogeechee Rd, Savannah, GA 31415, United States","Rooftop",32.143471,-81.248227,"120 Towne Center Dr, Pooler, GA 31322, United States","Female","F","F-F","house"
"156",156,114,"Correct",10050,NA,"Tahyaha (Daughter)","Daughter",2,"Family","F","Children","Tahyaha & Teoma: Enmarket, Oglethorpe Mall, Miss Polly's (Benton), Henry's (Pooler), Paint with a twist, Tybee, escape room (City walk)",NA,NA,"Place4","Henry's","Henry's Restaurant",318,318,"208 Grand Central Blvd #100, Pooler, GA 31322, United States","Rooftop",32.134051,-81.257394,"208 Grand Central Blvd #100, Pooler, GA 31322, United States","Female","F","F-F","residential, tertiary, residential, residential, unclassified, tertiary"
"157",157,115,"Correct",10050,NA,"Tahyaha (Daughter)","Daughter",2,"Family","F","Children","Tahyaha & Teoma: Enmarket, Oglethorpe Mall, Miss Polly's (Benton), Henry's (Pooler), Paint with a twist, Tybee, escape room (City walk)",NA,NA,"Place5","Paint with a twist","Paint with a Twist",360,360,"107 Grand Central Blvd Ste 205, Pooler, GA 31322, United States","Rooftop",32.133954,-81.256191,"107 Grand Central Blvd Ste 205, Pooler, GA 31322, United States","Female","F","F-F",""
"158",158,116,"Correct",10050,NA,"Tahyaha (Daughter)","Daughter",2,"Family","F","Children","Tahyaha & Teoma: Enmarket, Oglethorpe Mall, Miss Polly's (Benton), Henry's (Pooler), Paint with a twist, Tybee, escape room (City walk)",NA,NA,"Place6","Tybee","Tybee Island / Beach",251,251,"Tybee Island, GA, USA","Site",32.00593,-80.855322,"Tybee Island, GA, USA","Female","F","F-F","administrative, island"
"159",159,117,"Different from Google - needs to be re-geocoded",10050,NA,"Tahyaha (Daughter)","Daughter",2,"Family","F","Children","Tahyaha & Teoma: Enmarket, Oglethorpe Mall, Miss Polly's (Benton), Henry's (Pooler), Paint with a twist, Tybee, escape room (City walk)",NA,NA,"Place7","Escape Room (City Walk)","Escape Room (City Walk)",396,396,"38 Montgomery St, Savannah, GA 31401","Rooftop",32.080541,-81.095861,"6000 Universal Blvd, Orlando, FL 32819, United States","Female","F","F-F","theme_park, theme_park, theme_park, restaurant, bus_stop, attraction, ferry_terminal, restaurant, vending_machine, bus_stop"
"160",160,118,"Correct",10050,NA,"Teoma (Daughter)","Daughter",2,"Family","F","Children","Tahyaha & Teoma: Enmarket, Oglethorpe Mall, Miss Polly's (Benton), Henry's (Pooler), Paint with a twist, Tybee, escape room (City walk)",NA,NA,"Place1","Enmarket Arena","Enmarket Arena",9,9,"620 Stiles Ave, Savannah, GA 31415, United States","Rooftop",32.074145,-81.111533,"620 Stiles Ave, Savannah, GA 31415, United States","Female","F","F-F","stadium"
"161",161,119,"Correct",10050,NA,"Teoma (Daughter)","Daughter",2,"Family","F","Children","Tahyaha & Teoma: Enmarket, Oglethorpe Mall, Miss Polly's (Benton), Henry's (Pooler), Paint with a twist, Tybee, escape room (City walk)",NA,NA,"Place2","Oglethorpe Mall","Oglethorpe Mall",12,12,"7804 Abercorn Extention, Savannah, GA 31406, United States","Site",32.004052,-81.115226,"7804 Abercorn Extention, Savannah, GA 31406, United States","Female","F","F-F",""
"162",162,120,"Different from Google - needs to be re-geocoded",10050,NA,"Teoma (Daughter)","Daughter",2,"Family","F","Children","Tahyaha & Teoma: Enmarket, Oglethorpe Mall, Miss Polly's (Benton), Henry's (Pooler), Paint with a twist, Tybee, escape room (City walk)",NA,NA,"Place3","Miss Polly's","Miss Polly's Cake Giants",252,252,"2325 Ogeechee Rd, Savannah, GA 31415, United States","Rooftop",32.143471,-81.248227,"120 Towne Center Dr, Pooler, GA 31322, United States","Female","F","F-F","house"
"163",163,121,"Correct",10050,NA,"Teoma (Daughter)","Daughter",2,"Family","F","Children","Tahyaha & Teoma: Enmarket, Oglethorpe Mall, Miss Polly's (Benton), Henry's (Pooler), Paint with a twist, Tybee, escape room (City walk)",NA,NA,"Place4","Henry's","Henry's Restaurant",318,318,"208 Grand Central Blvd #100, Pooler, GA 31322, United States","Rooftop",32.134051,-81.257394,"208 Grand Central Blvd #100, Pooler, GA 31322, United States","Female","F","F-F","residential, tertiary, residential, residential, unclassified, tertiary"
"164",164,122,"Correct",10050,NA,"Teoma (Daughter)","Daughter",2,"Family","F","Children","Tahyaha & Teoma: Enmarket, Oglethorpe Mall, Miss Polly's (Benton), Henry's (Pooler), Paint with a twist, Tybee, escape room (City walk)",NA,NA,"Place5","Paint with a twist","Paint with a Twist",360,360,"107 Grand Central Blvd Ste 205, Pooler, GA 31322, United States","Rooftop",32.133954,-81.256191,"107 Grand Central Blvd Ste 205, Pooler, GA 31322, United States","Female","F","F-F",""
"165",165,123,"Correct",10050,NA,"Teoma (Daughter)","Daughter",2,"Family","F","Children","Tahyaha & Teoma: Enmarket, Oglethorpe Mall, Miss Polly's (Benton), Henry's (Pooler), Paint with a twist, Tybee, escape room (City walk)",NA,NA,"Place6","Tybee","Tybee Island / Beach",251,251,"Tybee Island, GA, USA","Site",32.00593,-80.855322,"Tybee Island, GA, USA","Female","F","F-F","administrative, island"
"166",166,124,"Different from Google - needs to be re-geocoded",10050,NA,"Teoma (Daughter)","Daughter",2,"Family","F","Children","Tahyaha & Teoma: Enmarket, Oglethorpe Mall, Miss Polly's (Benton), Henry's (Pooler), Paint with a twist, Tybee, escape room (City walk)",NA,NA,"Place7","Escape Room (City Walk)","Escape Room (City Walk)",396,396,"38 Montgomery St, Savannah, GA 31401","Rooftop",32.080541,-81.095861,"6000 Universal Blvd, Orlando, FL 32819, United States","Female","F","F-F","theme_park, theme_park, theme_park, restaurant, bus_stop, attraction, ferry_terminal, restaurant, vending_machine, bus_stop"
"167",167,130,"Correct",10051,NA,"Jada (Daughter)","Daughter",NA,"Family","F",NA,"Jada: Oglethorpe Mall, nursery home, Texas roadhouse, Jaquel's house on Whitfield.",NA,NA,"Place1","Oglethorpe Mall","Oglethorpe Mall",12,12,"7804 Abercorn Extention, Savannah, GA 31406, United States","Site",32.004052,-81.115226,"7804 Abercorn Extention, Savannah, GA 31406, United States","Male","F","M-F",""
"168",168,131,"Different from Google - needs to be re-geocoded",10051,NA,"Jada (Daughter)","Daughter",NA,"Family","F",NA,"Jada: Oglethorpe Mall, nursery home, Texas roadhouse, Jaquel's house on Whitfield.",NA,NA,"Place2","Nursery home","Nursery home",155,155,"2040 Colonial Dr, Savannah, GA 31406, United States",NA,31.977267,-81.137822,"249 Holland Dr, Savannah, GA 31419, United States","Male","F","M-F","house"
"169",169,132,"Correct",10051,NA,"Jada (Daughter)","Daughter",NA,"Family","F",NA,"Jada: Oglethorpe Mall, nursery home, Texas roadhouse, Jaquel's house on Whitfield.",NA,NA,"Place3","Texas Roadhouse","Texas Roadhouse",254,254,"101 Outlet Pkwy, Pooler, GA 31322, United States","Rooftop",32.11548,-81.24706,"101 Outlet Pkwy, Pooler, GA 31322, United States","Male","F","M-F","unclassified"
"170",170,170,"Correct",10053,NA,"Jon'nasya (Daughter)","Daughter",NA,"Family","F",NA,"Kids: River Street, cloverdale pool, lake meyer, the aquatics center by lake meyer, cloverdale library, Cici's on abercorn, xhilerate, movie theater on Victory drive (NCG), ole times, sunny side up, any McDonalds, burger king, skating rink starcastle, og",NA,NA,"Place1","River Street","River Street",8,8,"River St, Georgia 31401, USA","Street",32.085318,-81.099275,"River St, Georgia 31401, USA","Female","F","F-F","residential, attraction"
"171",171,171,"Correct",10053,NA,"Jon'nasya (Daughter)","Daughter",NA,"Family","F",NA,"Kids: River Street, cloverdale pool, lake meyer, the aquatics center by lake meyer, cloverdale library, Cici's on abercorn, xhilerate, movie theater on Victory drive (NCG), ole times, sunny side up, any McDonalds, burger king, skating rink starcastle, og",NA,NA,"Place2","Cloverdale Pool","Cloverdale Pool",157,157,"1919 Cynthia St, Savannah, GA 31405, United States","Rooftop",32.063868,-81.124696,"1919 Cynthia St, Savannah, GA 31405, United States","Female","F","F-F","community_centre"
"172",172,172,"Different from Google - needs to be re-geocoded",10053,NA,"Jon'nasya (Daughter)","Daughter",NA,"Family","F",NA,"Kids: River Street, cloverdale pool, lake meyer, the aquatics center by lake meyer, cloverdale library, Cici's on abercorn, xhilerate, movie theater on Victory drive (NCG), ole times, sunny side up, any McDonalds, burger king, skating rink starcastle, og",NA,NA,"Place3","Lake Meyer","Lake Mayer / Park",186,186,"1850 E Montgomery Cross Rd, Savannah, GA 31406, United States","Site",32.01838,-81.117206,"Lake Mayer, Savannah, GA 31406, USA","Female","F","F-F","pitch, place_of_worship"
"173",173,173,"Different from Google - needs to be re-geocoded",10053,NA,"Jon'nasya (Daughter)","Daughter",NA,"Family","F",NA,"Kids: River Street, cloverdale pool, lake meyer, the aquatics center by lake meyer, cloverdale library, Cici's on abercorn, xhilerate, movie theater on Victory drive (NCG), ole times, sunny side up, any McDonalds, burger king, skating rink starcastle, og",NA,NA,"Place4","Lake Meyer Aquatics Center","Lake Mayer / Park",320,320,"7240 Sallie Mood Dr, Savannah, GA 31406, United States","Rooftop",32.01838,-81.117206,"Lake Mayer, Savannah, GA 31406, USA","Female","F","F-F","pitch, place_of_worship"
"174",174,174,"Correct",10053,NA,"Jon'nasya (Daughter)","Daughter",NA,"Family","F",NA,"Kids: River Street, cloverdale pool, lake meyer, the aquatics center by lake meyer, cloverdale library, Cici's on abercorn, xhilerate, movie theater on Victory drive (NCG), ole times, sunny side up, any McDonalds, burger king, skating rink starcastle, og",NA,NA,"Place5","Cloverdale Library","Forest City Branch Library",361,361,"401 N Cloverdale Blvd, Cloverdale, CA 95425, United States",NA,32.064264,-81.121126,"401 N Cloverdale Blvd, Cloverdale, CA 95425, United States","Female","F","F-F","government, library"
"175",175,175,"Correct",10053,NA,"Jon'nasya (Daughter)","Daughter",NA,"Family","F",NA,"Kids: River Street, cloverdale pool, lake meyer, the aquatics center by lake meyer, cloverdale library, Cici's on abercorn, xhilerate, movie theater on Victory drive (NCG), ole times, sunny side up, any McDonalds, burger king, skating rink starcastle, og",NA,NA,"Place6","Cici's on Abercorn","Cici's-Abercorn",384,384,"7400 Abercorn St Suite 801, Savannah, GA 31406, United States","Rooftop",32.00761,-81.111496,"7400 Abercorn St Suite 801, Savannah, GA 31406, United States","Female","F","F-F",""
"176",176,176,"Correct",10053,NA,"Jon'nasya (Daughter)","Daughter",NA,"Family","F",NA,"Kids: River Street, cloverdale pool, lake meyer, the aquatics center by lake meyer, cloverdale library, Cici's on abercorn, xhilerate, movie theater on Victory drive (NCG), ole times, sunny side up, any McDonalds, burger king, skating rink starcastle, og",NA,NA,"Place7","Xhilerate","Exhilerate",397,397,"444 N 4th St #606, Philadelphia, PA 19123, United States","Rooftop",31.988751,-81.132178,"444 N 4th St #606, Philadelphia, PA 19123, United States","Female","F","F-F","residential"
"177",177,177,"Correct",10053,NA,"Jon'nasya (Daughter)","Daughter",NA,"Family","F",NA,"Kids: River Street, cloverdale pool, lake meyer, the aquatics center by lake meyer, cloverdale library, Cici's on abercorn, xhilerate, movie theater on Victory drive (NCG), ole times, sunny side up, any McDonalds, burger king, skating rink starcastle, og",NA,NA,"Place8","Movies on Victory Drive (NCG)","NGC Cinema-Victory Drive",405,405,"3001 Skidaway Rd, Savannah, GA 31404, United States","Rooftop",32.037416,-81.066314,"3001 Skidaway Rd, Savannah, GA 31404, United States","Female","F","F-F","commercial"
"178",178,178,"Correct",10053,NA,"Jon'nasya (Daughter)","Daughter",NA,"Family","F",NA,"Kids: River Street, cloverdale pool, lake meyer, the aquatics center by lake meyer, cloverdale library, Cici's on abercorn, xhilerate, movie theater on Victory drive (NCG), ole times, sunny side up, any McDonalds, burger king, skating rink starcastle, og",NA,NA,"Place9","Ole Times","Ole Times Country Buffet",335,335,"209 Stephenson Ave, Savannah, GA 31405, United States","Rooftop",32.012469,-81.110338,"209 Stephenson Ave, Savannah, GA 31405, United States","Female","F","F-F","house"
"179",179,179,"Correct",10053,NA,"Jon'nasya (Daughter)","Daughter",NA,"Family","F",NA,"Kids: River Street, cloverdale pool, lake meyer, the aquatics center by lake meyer, cloverdale library, Cici's on abercorn, xhilerate, movie theater on Victory drive (NCG), ole times, sunny side up, any McDonalds, burger king, skating rink starcastle, og",NA,NA,"Place10","Sunny Side Up","Sunny Side Up",29,29,"800 E Derenne Ave, Savannah, GA 31406, United States","Rooftop",32.025442,-81.096094,"800 E Derenne Ave, Savannah, GA 31406, United States","Female","F","F-F","primary, secondary, primary, trunk, trunk, trunk, trunk, trunk"
"180",180,180,"Correct",10053,NA,"Jon'nasya (Daughter)","Daughter",NA,"Family","F",NA,"Kids: River Street, cloverdale pool, lake meyer, the aquatics center by lake meyer, cloverdale library, Cici's on abercorn, xhilerate, movie theater on Victory drive (NCG), ole times, sunny side up, any McDonalds, burger king, skating rink starcastle, og",NA,NA,"Place11","McDonalds","McDonalds",418,418,"2025 Skidaway Rd, Savannah, GA 31404, United States","Rooftop",32.047727,-81.06504,"2025 Skidaway Rd, Savannah, GA 31404, United States","Female","F","F-F","house"
"181",181,181,"Different from Google - needs to be re-geocoded",10053,NA,"Jon'nasya (Daughter)","Daughter",NA,"Family","F",NA,"Kids: River Street, cloverdale pool, lake meyer, the aquatics center by lake meyer, cloverdale library, Cici's on abercorn, xhilerate, movie theater on Victory drive (NCG), ole times, sunny side up, any McDonalds, burger king, skating rink starcastle, og",NA,NA,"Place.12","Burger King","Burger King",420,420,"14 W Derenne Ave, Savannah, GA 31405, United States","Rooftop",32.113081,-81.241455,"415 US-80, Pooler, GA 31322, United States","Female","F","F-F","fast_food, house, house, house, house"
